http://dbpedia.org/ontology/ArchitecturalStructure	<http://dbpedia.org/ontology/affiliation>	estructura arquitectónica	afiliación	54	29780
http://dbpedia.org/ontology/EducationalInstitution	<http://dbpedia.org/ontology/affiliation>	institución educativa	afiliación	242	1872
http://dbpedia.org/ontology/Hospital	<http://dbpedia.org/ontology/affiliation>	hospital	afiliación	54	217
http://dbpedia.org/ontology/AdministrativeRegion	<http://dbpedia.org/ontology/alias>	región administrativa	alias	365	150078
http://dbpedia.org/ontology/Agent	<http://dbpedia.org/ontology/alias>	agente	alias	5331	134400
http://dbpedia.org/ontology/Organisation	<http://dbpedia.org/ontology/alliance>	organización	alianza	138	17753
http://dbpedia.org/ontology/Place	<http://dbpedia.org/ontology/anthem>	lugar	himno	144	188205
http://www.w3.org/2002/07/owl#Thing	<http://dbpedia.org/ontology/archipelago>	Cosa	archipiélago	592	522927
http://www.w3.org/2002/07/owl#Thing	<http://dbpedia.org/ontology/areaCode>	Cosa	código de área	79347	522927
http://dbpedia.org/ontology/BodyOfWater	<http://dbpedia.org/ontology/areaOfCatchment>	cuerpo de agua	área de captación (m2)	44	724
http://dbpedia.org/ontology/Place	<http://dbpedia.org/ontology/areaOfCatchment>	lugar	área de captación (m2)	44	188205
http://dbpedia.org/ontology/Place	<http://dbpedia.org/ontology/areaTotal>	lugar	superficie total (m2)	54900	188205
http://dbpedia.org/ontology/PopulatedPlace	<http://dbpedia.org/ontology/arrondissement>	lugar poblado	arrondissement	36487	152930
http://www.w3.org/2002/07/owl#Thing	<http://dbpedia.org/ontology/artery>	Cosa	arteria	51	522927
http://dbpedia.org/ontology/Agent	<http://dbpedia.org/ontology/assets>	agente	activos ($)	134	134400
http://dbpedia.org/ontology/Organisation	<http://dbpedia.org/ontology/assets>	organización	activos ($)	134	17753
http://dbpedia.org/ontology/Work	<http://dbpedia.org/ontology/associateEditor>	trabajar	editor asociado	3	59495
http://www.w3.org/2002/07/owl#Thing	<http://dbpedia.org/ontology/associateEditor>	Cosa	editor asociado	3	522927
http://dbpedia.org/ontology/WrittenWork	<http://dbpedia.org/ontology/author>	trabajo escrito	autor	2390	3214
http://dbpedia.org/ontology/MeanOfTransportation	<http://dbpedia.org/ontology/automobilePlatform>	medio de transporte	automóvil plataforma	1	5304
http://dbpedia.org/ontology/Scientist	<http://dbpedia.org/ontology/award>	científico	premio	525	6091
http://www.w3.org/2002/07/owl#Thing	<http://dbpedia.org/ontology/award>	Cosa	premio	3363	522927
http://www.w3.org/2002/07/owl#Thing	<http://dbpedia.org/ontology/bSide>	Cosa	b lado	1793	522927
http://dbpedia.org/ontology/ArchitecturalStructure	<http://dbpedia.org/ontology/bedCount>	estructura arquitectónica	Número de camas	143	29780
http://dbpedia.org/ontology/Agent	<http://dbpedia.org/ontology/birthDate>	agente	fecha de nacimiento	66	134400
http://dbpedia.org/ontology/FictionalCharacter	<http://dbpedia.org/ontology/birthDate>	personaje de ficción	fecha de nacimiento	2	3034
http://dbpedia.org/ontology/Criminal	<http://dbpedia.org/ontology/birthPlace>	criminal	lugar de nacimiento	1	129
http://dbpedia.org/ontology/Agent	<http://dbpedia.org/ontology/birthYear>	agente	año de nacimiento	546	134400
http://www.w3.org/2002/07/owl#Thing	<http://dbpedia.org/ontology/broadcastArea>	Cosa	transmitir área	1280	522927
http://dbpedia.org/ontology/AdministrativeRegion	<http://dbpedia.org/ontology/budget>	región administrativa	presupuesto ($)	711	150078
http://dbpedia.org/ontology/EducationalInstitution	<http://dbpedia.org/ontology/campus>	institución educativa	campus	263	1872
http://www.w3.org/2002/07/owl#Thing	<http://dbpedia.org/ontology/campus>	Cosa	campus	263	522927
http://dbpedia.org/ontology/Person	<http://dbpedia.org/ontology/careerPrizeMoney>	persona	carrera premio ($)	656	116647
http://dbpedia.org/ontology/Organisation	<http://dbpedia.org/ontology/chancellor>	organización	canciller	337	17753
http://dbpedia.org/ontology/Work	<http://dbpedia.org/ontology/channel>	trabajar	canal	3873	59495
http://dbpedia.org/ontology/Broadcaster	<http://dbpedia.org/ontology/city>	locutor	ciudad	862	2479
http://dbpedia.org/ontology/EducationalInstitution	<http://dbpedia.org/ontology/city>	institución educativa	ciudad	1741	1872
http://www.w3.org/2002/07/owl#Thing	<http://dbpedia.org/ontology/closingYear>	Cosa	el cierre de año	616	522927
http://www.w3.org/2002/07/owl#Thing	<http://dbpedia.org/ontology/cmykCoordinateMagenta>	Cosa	magenta coordenadas en el espacio CMYK	141	522927
http://dbpedia.org/ontology/MilitaryConflict	<http://dbpedia.org/ontology/commander>	conflicto militar	comandante	3387	3683
http://dbpedia.org/ontology/Agent	<http://dbpedia.org/ontology/committee>	agente	comité	77	134400
http://www.w3.org/2002/07/owl#Thing	<http://dbpedia.org/ontology/composer>	Cosa	compositor	308	522927
http://www.w3.org/2002/07/owl#Thing	<http://dbpedia.org/ontology/computingMedia>	Cosa	Medios Informática	26	522927
http://www.w3.org/2002/07/owl#Thing	<http://dbpedia.org/ontology/configuration>	Cosa	configuración	9	522927
http://dbpedia.org/ontology/Book	<http://dbpedia.org/ontology/country>	libro	país	1148	2628
http://dbpedia.org/ontology/MilitaryPerson	<http://dbpedia.org/ontology/country>	persona militar	país	2495	2900
http://dbpedia.org/ontology/PeriodicalLiterature	<http://dbpedia.org/ontology/country>	publicaciones periódicas	país	388	586
http://dbpedia.org/ontology/Artist	<http://dbpedia.org/ontology/deathPlace>	artista	muerte lugar	7278	38643
http://dbpedia.org/ontology/Agent	<http://dbpedia.org/ontology/debutTeam>	agente	principio del equipo	18095	134400
http://dbpedia.org/ontology/Athlete	<http://dbpedia.org/ontology/debutTeam>	atleta	principio del equipo	18095	37264
http://dbpedia.org/ontology/Place	<http://dbpedia.org/ontology/division>	lugar	división	2256	188205
http://dbpedia.org/ontology/Agent	<http://dbpedia.org/ontology/effectiveRadiatedPower>	agente	effectiveRadiatedPower (W)	95	134400
http://www.w3.org/2002/07/owl#Thing	<http://dbpedia.org/ontology/electionMajority>	Cosa	elección mayoritaria	1	522927
http://www.w3.org/2002/07/owl#Thing	<http://dbpedia.org/ontology/episodeNumber>	Cosa	episodio número	4039	522927
http://www.w3.org/2002/07/owl#Thing	<http://dbpedia.org/ontology/event>	Cosa	evento	725	522927
http://www.w3.org/2002/07/owl#Thing	<http://dbpedia.org/ontology/executiveProducer>	Cosa	productor ejecutivo	796	522927
http://dbpedia.org/ontology/ArchitecturalStructure	<http://dbpedia.org/ontology/faaLocationIdentifier>	estructura arquitectónica	FAA Identificador Ubicación	41	29780
http://dbpedia.org/ontology/Person	<http://dbpedia.org/ontology/firstAppearance>	persona	primera presentación	1324	116647
http://www.w3.org/2002/07/owl#Thing	<http://dbpedia.org/ontology/firstAppearance>	Cosa	primera presentación	1324	522927
http://dbpedia.org/ontology/Place	<http://dbpedia.org/ontology/firstAscentYear>	lugar	año de la primera ascensión	187	188205
http://dbpedia.org/ontology/WrittenWork	<http://dbpedia.org/ontology/format>	trabajo escrito	formato	174	3214
http://dbpedia.org/ontology/Organisation	<http://dbpedia.org/ontology/formerCallsign>	organización	distintivo de llamada ex	68	17753
http://dbpedia.org/ontology/Station	<http://dbpedia.org/ontology/formerName>	estación	nombre anterior	329	6626
http://dbpedia.org/ontology/AdministrativeRegion	<http://dbpedia.org/ontology/foundingDate>	región administrativa	fecha de fundación	25	150078
http://dbpedia.org/ontology/Agent	<http://dbpedia.org/ontology/foundingPerson>	agente	persona fundación	482	134400
http://www.w3.org/2002/07/owl#Thing	<http://dbpedia.org/ontology/foundingPerson>	Cosa	persona fundación	723	522927
http://dbpedia.org/ontology/FictionalCharacter	<http://dbpedia.org/ontology/gender>	personaje de ficción	género	662	3034
http://dbpedia.org/ontology/PopulatedPlace	<http://dbpedia.org/ontology/grossDomesticProduct>	lugar poblado	producto interno bruto (PIB) ($)	253	152930
http://dbpedia.org/ontology/Artwork	<http://dbpedia.org/ontology/height>	obras de arte	altura (μ)	1325	1504
http://dbpedia.org/ontology/SportsTeam	<http://dbpedia.org/ontology/homeStadium>	equipo deportivo	casa estadio	4689	5113
http://dbpedia.org/ontology/Agent	<http://dbpedia.org/ontology/hometown>	agente	casa de la ciudad	13884	134400
http://www.w3.org/2002/07/owl#Thing	<http://dbpedia.org/ontology/hsvCoordinateSaturation>	Cosa	saturación de coordenadas en el espacio de color HSV	156	522927
http://www.w3.org/2002/07/owl#Thing	<http://dbpedia.org/ontology/hsvCoordinateValue>	Cosa	valor de la coordenada en el espacio de color HSV	156	522927
http://dbpedia.org/ontology/Organisation	<http://dbpedia.org/ontology/hubAirport>	organización	centro de aeropuerto	922	17753
http://dbpedia.org/ontology/ArchitecturalStructure	<http://dbpedia.org/ontology/iataLocationIdentifier>	estructura arquitectónica	IATA identificador de ubicación	1719	29780
http://dbpedia.org/ontology/Place	<http://dbpedia.org/ontology/iataLocationIdentifier>	lugar	IATA identificador de ubicación	1719	188205
http://www.w3.org/2002/07/owl#Thing	<http://dbpedia.org/ontology/internationalAffiliation>	Cosa	afiliación internacional	620	522927
http://dbpedia.org/ontology/Aircraft	<http://dbpedia.org/ontology/introductionDate>	aeronave	introducción fecha	2	1558
http://dbpedia.org/ontology/PeriodicalLiterature	<http://dbpedia.org/ontology/language>	publicaciones periódicas	idioma	534	586
http://dbpedia.org/ontology/AdministrativeRegion	<http://dbpedia.org/ontology/largestCity>	región administrativa	la ciudad más grande	2658	150078
http://www.w3.org/2002/07/owl#Thing	<http://dbpedia.org/ontology/largestCity>	Cosa	la ciudad más grande	2658	522927
http://www.w3.org/2002/07/owl#Thing	<http://dbpedia.org/ontology/lastAppearance>	Cosa	última aparición	140	522927
http://dbpedia.org/ontology/Hotel	<http://dbpedia.org/ontology/location>	hotel	ubicación	88	99
http://dbpedia.org/ontology/Agent	<http://dbpedia.org/ontology/locationCity>	agente	ubicación de la ciudad	135	134400
http://www.w3.org/2002/07/owl#Thing	<http://dbpedia.org/ontology/locusSupplementaryData>	Cosa	datos complementarios locus	119	522927
http://dbpedia.org/ontology/EducationalInstitution	<http://dbpedia.org/ontology/mascot>	institución educativa	mascota	232	1872
http://www.w3.org/2002/07/owl#Thing	<http://dbpedia.org/ontology/mountainRange>	Cosa	sierra	1222	522927
http://dbpedia.org/ontology/Place	<http://dbpedia.org/ontology/nationalTopographicSystemMapNumber>	lugar	Sistema Nacional de Topográfica número mapa	5	188205
http://www.w3.org/2002/07/owl#Thing	<http://dbpedia.org/ontology/nationalTopographicSystemMapNumber>	Cosa	Sistema Nacional de Topográfica número mapa	5	522927
http://dbpedia.org/ontology/Organisation	<http://dbpedia.org/ontology/numberOfDoctoralStudents>	organización	número de estudiantes de doctorado	41	17753
http://www.w3.org/2002/07/owl#Thing	<http://dbpedia.org/ontology/numberOfDoctoralStudents>	Cosa	número de estudiantes de doctorado	41	522927
http://dbpedia.org/ontology/TelevisionShow	<http://dbpedia.org/ontology/numberOfEpisodes>	programa de televisión	número de episodios	3693	5585
http://dbpedia.org/ontology/Work	<http://dbpedia.org/ontology/numberOfEpisodes>	trabajar	número de episodios	3693	59495
http://dbpedia.org/ontology/Book	<http://dbpedia.org/ontology/numberOfPages>	libro	número de páginas	1035	2628
http://dbpedia.org/ontology/Place	<http://dbpedia.org/ontology/numberOfPlatformLevels>	lugar	número de niveles de la plataforma	24	188205
http://www.w3.org/2002/07/owl#Thing	<http://dbpedia.org/ontology/numberOfPlatformLevels>	Cosa	número de niveles de la plataforma	24	522927
http://dbpedia.org/ontology/EducationalInstitution	<http://dbpedia.org/ontology/numberOfPostgraduateStudents>	institución educativa	número de estudiantes de postgrado	284	1872
http://dbpedia.org/ontology/Agent	<http://dbpedia.org/ontology/numberOfStudents>	agente	número de estudiantes	1039	134400
http://dbpedia.org/ontology/ArchitecturalStructure	<http://dbpedia.org/ontology/numberOfVisitors>	estructura arquitectónica	número de visitantes	254	29780
http://dbpedia.org/ontology/MusicalArtist	<http://dbpedia.org/ontology/occupation>	artista musical	ocupación	5051	16831
http://www.w3.org/2002/07/owl#Thing	<http://dbpedia.org/ontology/officialSchoolColour>	Cosa	color de la escuela oficial	252	522927
http://dbpedia.org/ontology/Software	<http://dbpedia.org/ontology/operatingSystem>	software	sistema operativo	1763	5692
http://dbpedia.org/ontology/Agent	<http://dbpedia.org/ontology/owner>	agente	propietario	285	134400
http://www.w3.org/2002/07/owl#Thing	<http://dbpedia.org/ontology/owningCompany>	Cosa	compañía propietaria	1053	522927
http://dbpedia.org/ontology/Agent	<http://dbpedia.org/ontology/owningOrganisation>	agente	ser dueño de organización	164	134400
http://dbpedia.org/ontology/Station	<http://dbpedia.org/ontology/owningOrganisation>	estación	ser dueño de organización	1395	6626
http://www.w3.org/2002/07/owl#Thing	<http://dbpedia.org/ontology/personFunction>	Cosa	persona función	101	522927
http://dbpedia.org/ontology/ArchitecturalStructure	<http://dbpedia.org/ontology/picture>	estructura arquitectónica	imagen	164	29780
http://dbpedia.org/ontology/Agent	<http://dbpedia.org/ontology/pictureFormat>	agente	imágenes en el formato	717	134400
http://dbpedia.org/ontology/PopulatedPlace	<http://dbpedia.org/ontology/populationAsOf>	lugar poblado	población de	51	152930
http://dbpedia.org/ontology/AdministrativeRegion	<http://dbpedia.org/ontology/populationTotal>	región administrativa	población total	82389	150078
http://www.w3.org/2002/07/owl#Thing	<http://dbpedia.org/ontology/populationTotal>	Cosa	población total	84414	522927
http://dbpedia.org/ontology/Organisation	<http://dbpedia.org/ontology/predecessor>	organización	predecesor	160	17753
http://dbpedia.org/ontology/Infrastructure	<http://dbpedia.org/ontology/previousInfrastructure>	infraestructura	infraestructura anterior	4054	23528
http://dbpedia.org/ontology/Place	<http://dbpedia.org/ontology/previousInfrastructure>	lugar	infraestructura anterior	4054	188205
http://dbpedia.org/ontology/Person	<http://dbpedia.org/ontology/primeMinister>	persona	primer ministro	4	116647
http://dbpedia.org/ontology/Politician	<http://dbpedia.org/ontology/profession>	político	profesión	6125	11996
http://schema.org/Product	<http://dbpedia.org/ontology/programCost>	Producto	programa de costos ($)	7	6042
http://www.w3.org/2002/07/owl#Thing	<http://dbpedia.org/ontology/prominence>	Cosa	prominencia (μ)	1526	522927
http://dbpedia.org/ontology/WrittenWork	<http://dbpedia.org/ontology/publisher>	trabajo escrito	editor	976	3214
http://dbpedia.org/ontology/Biomolecule	<http://dbpedia.org/ontology/refseq>	Biomolécula	RefSeq	989	1052
http://www.w3.org/2002/07/owl#Thing	<http://dbpedia.org/ontology/releaseDate>	Cosa	fecha de lanzamiento	378	522927
http://dbpedia.org/ontology/Software	<http://dbpedia.org/ontology/requirement>	software	requisito	671	5692
http://www.w3.org/2002/07/owl#Thing	<http://dbpedia.org/ontology/rgbCoordinateRed>	Cosa	rojo de coordenadas en el espacio RGB	156	522927
http://dbpedia.org/ontology/BodyOfWater	<http://dbpedia.org/ontology/riverMouth>	cuerpo de agua	desembocadura	1	724
http://dbpedia.org/ontology/Work	<http://dbpedia.org/ontology/runtime>	trabajar	runtime (s)	31696	59495
http://dbpedia.org/ontology/ArchitecturalStructure	<http://dbpedia.org/ontology/runwayDesignation>	estructura arquitectónica	designación de pista	2	29780
http://www.w3.org/2002/07/owl#Thing	<http://dbpedia.org/ontology/runwayDesignation>	Cosa	designación de pista	2	522927
http://dbpedia.org/ontology/ArchitecturalStructure	<http://dbpedia.org/ontology/runwayLength>	estructura arquitectónica	longitud de la pista (μ)	2	29780
http://dbpedia.org/ontology/Infrastructure	<http://dbpedia.org/ontology/runwaySurface>	infraestructura	superficie de la pista	2	23528
http://dbpedia.org/ontology/SportsTeam	<http://dbpedia.org/ontology/season>	equipo deportivo	temporada	1409	5113
http://dbpedia.org/ontology/Place	<http://dbpedia.org/ontology/servingRailwayLine>	lugar	sirviendo línea ferroviaria	3417	188205
http://www.w3.org/2002/07/owl#Thing	<http://dbpedia.org/ontology/servingRailwayLine>	Cosa	sirviendo línea ferroviaria	3417	522927
http://dbpedia.org/ontology/Agent	<http://dbpedia.org/ontology/shareDate>	agente	fecha share	13	134400
http://dbpedia.org/ontology/Agent	<http://dbpedia.org/ontology/shareOfAudience>	agente	cuota de audiencia	153	134400
http://dbpedia.org/ontology/Broadcaster	<http://dbpedia.org/ontology/sisterStation>	locutor	estación de la hermana	740	2479
http://dbpedia.org/ontology/FictionalCharacter	<http://dbpedia.org/ontology/spouse>	personaje de ficción	cónyuge	216	3034
http://www.w3.org/2002/07/owl#Thing	<http://dbpedia.org/ontology/spouse>	Cosa	cónyuge	3244	522927
http://dbpedia.org/ontology/Aircraft	<http://dbpedia.org/ontology/status>	aeronave	estado	1156	1558
http://www.w3.org/2002/07/owl#Thing	<http://dbpedia.org/ontology/subsequentInfrastructure>	Cosa	infraestructura posterior	4139	522927
http://dbpedia.org/ontology/WrittenWork	<http://dbpedia.org/ontology/subsequentWork>	trabajo escrito	trabajo subsiguiente	746	3214
http://dbpedia.org/ontology/Aircraft	<http://dbpedia.org/ontology/successor>	aeronave	sucesor	477	1558
http://dbpedia.org/ontology/MeanOfTransportation	<http://dbpedia.org/ontology/topSpeed>	medio de transporte	velocidad (kmh)	14	5304
http://www.w3.org/2002/07/owl#Thing	<http://dbpedia.org/ontology/transmission>	Cosa	transmisión	8	522927
http://dbpedia.org/ontology/PeriodicalLiterature	<http://dbpedia.org/ontology/type>	publicaciones periódicas	tipo	125	586
http://dbpedia.org/ontology/RouteOfTransportation	<http://dbpedia.org/ontology/type>	ruta de transporte	tipo	91	14978
http://dbpedia.org/ontology/Person	<http://dbpedia.org/ontology/weight>	persona	peso (g)	1382	116647
http://dbpedia.org/ontology/Agent	<http://purl.org/dc/elements/1.1/description>	agente	descripción	1350	134400
http://dbpedia.org/ontology/AdministrativeRegion	<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>	región administrativa	tipo	64985	150078
http://dbpedia.org/ontology/TelevisionStation	<http://xmlns.com/foaf/0.1/homepage>	canal de televisión	página principal	1178	1450
http://dbpedia.org/ontology/Event	<http://xmlns.com/foaf/0.1/homepage>	evento	página principal	82	22806
http://dbpedia.org/ontology/MusicalArtist	<http://xmlns.com/foaf/0.1/homepage>	artista musical	página principal	9360	16831
http://dbpedia.org/ontology/SportsTeam	<http://xmlns.com/foaf/0.1/homepage>	equipo deportivo	página principal	25	5113
http://dbpedia.org/ontology/Stadium	<http://xmlns.com/foaf/0.1/homepage>	estadio	página principal	551	3207
http://dbpedia.org/ontology/Station	<http://xmlns.com/foaf/0.1/homepage>	estación	página principal	3	6626
http://www.w3.org/2002/07/owl#Thing	<http://xmlns.com/foaf/0.1/homepage>	Cosa	página principal	41245	522927
http://dbpedia.org/ontology/AnatomicalStructure	<http://xmlns.com/foaf/0.1/name>	estructura anatómica	nombre	97	191
http://dbpedia.org/ontology/Artwork	<http://xmlns.com/foaf/0.1/name>	obras de arte	nombre	1363	1504
http://dbpedia.org/ontology/BaseballTeam	<http://xmlns.com/foaf/0.1/name>	equipo de béisbol	nombre	132	132
http://dbpedia.org/ontology/Biomolecule	<http://xmlns.com/foaf/0.1/name>	Biomolécula	nombre	59	1052
http://dbpedia.org/ontology/BodyOfWater	<http://xmlns.com/foaf/0.1/name>	cuerpo de agua	nombre	717	724
http://dbpedia.org/ontology/Broadcaster	<http://xmlns.com/foaf/0.1/name>	locutor	nombre	2462	2479
http://dbpedia.org/ontology/Criminal	<http://xmlns.com/foaf/0.1/name>	criminal	nombre	127	129
http://dbpedia.org/ontology/Device	<http://xmlns.com/foaf/0.1/name>	dispositivo	nombre	647	660
http://dbpedia.org/ontology/Food	<http://xmlns.com/foaf/0.1/name>	Alimento	nombre	93	95
http://dbpedia.org/ontology/HistoricBuilding	<http://xmlns.com/foaf/0.1/name>	edificio histórico	nombre	47	47
http://dbpedia.org/ontology/Hospital	<http://xmlns.com/foaf/0.1/name>	hospital	nombre	195	217
http://dbpedia.org/ontology/Hotel	<http://xmlns.com/foaf/0.1/name>	hotel	nombre	97	99
http://dbpedia.org/ontology/MilitaryConflict	<http://xmlns.com/foaf/0.1/name>	conflicto militar	nombre	3620	3683
http://dbpedia.org/ontology/MusicalArtist	<http://xmlns.com/foaf/0.1/name>	artista musical	nombre	16384	16831
http://dbpedia.org/ontology/Newspaper	<http://xmlns.com/foaf/0.1/name>	periódico	nombre	573	586
http://dbpedia.org/ontology/Politician	<http://xmlns.com/foaf/0.1/name>	político	nombre	9187	11996
http://dbpedia.org/ontology/RugbyPlayer	<http://xmlns.com/foaf/0.1/name>	el jugador de rugby	nombre	98	125
http://dbpedia.org/ontology/Scientist	<http://xmlns.com/foaf/0.1/name>	científico	nombre	1725	6091
http://dbpedia.org/ontology/Work	<http://xmlns.com/foaf/0.1/name>	trabajar	nombre	35215	59495
http://www.w3.org/2002/07/owl#Thing	<http://dbpedia.org/ontology/alliance>	Cosa	alianza	343	522927
http://dbpedia.org/ontology/Vein	<http://dbpedia.org/ontology/artery>	vena	arteria	51	97
http://dbpedia.org/ontology/Vein	<http://dbpedia.org/ontology/drainsFrom>	vena	tuberías de desagüe de	24	97
http://dbpedia.org/ontology/Vein	<http://dbpedia.org/ontology/grayPage>	vena	Página Gray	3	97
http://dbpedia.org/ontology/Vein	<http://dbpedia.org/ontology/graySubject>	vena	Sujeto Gray	3	97
http://www.w3.org/2002/07/owl#Thing	<http://dbpedia.org/ontology/icdo>	Cosa	OIPC	51	522927
http://dbpedia.org/ontology/Vein	<http://dbpedia.org/ontology/meshName>	vena	MeSH nombre	7	97
http://www.w3.org/2002/07/owl#Thing	<http://dbpedia.org/ontology/militaryRank>	Cosa	rango militar	2005	522927
http://www.w3.org/2002/07/owl#Thing	<http://dbpedia.org/ontology/municipality>	Cosa	municipio	5044	522927
http://www.w3.org/2002/07/owl#Thing	<http://dbpedia.org/ontology/numberOfSeasons>	Cosa	número de estaciones	2539	522927
http://dbpedia.org/ontology/Artery	<http://dbpedia.org/ontology/precursor>	arteria	precursor	4	94
http://www.w3.org/2002/07/owl#Thing	<http://dbpedia.org/ontology/seasonNumber>	Cosa	temporada número	1919	522927
http://www.w3.org/2002/07/owl#Thing	<http://dbpedia.org/ontology/viceChancellor>	Cosa	vice canciller	30	522927
http://dbpedia.org/ontology/Vein	<http://xmlns.com/foaf/0.1/name>	vena	nombre	97	97
http://dbpedia.org/ontology/Brain	__total__	cerebro	__total__	0	0
http://dbpedia.org/ontology/Muscle	__total__	músculo	__total__	0	0
http://dbpedia.org/ontology/Nerve	__total__	nervio	__total__	0	0
http://dbpedia.org/ontology/Vein	__total__	vena	__total__	97	97
http://www.w3.org/2002/07/owl#Thing	<http://dbpedia.org/ontology/aircraftType>	Cosa	tipo de avión	1542	522927
http://dbpedia.org/ontology/Tax	<http://dbpedia.org/ontology/alliance>	taxón	alianza	205	103428
http://dbpedia.org/ontology/Tax	__total__	taxón	__total__	103428	103428
http://dbpedia.org/ontology/Tax	<http://dbpedia.org/ontology/binomial>	taxón	binomio	647	103428
http://dbpedia.org/ontology/Tax	<http://dbpedia.org/ontology/binomialAuthority>	taxón	autoridad binomio	26282	103428
http://dbpedia.org/ontology/Tax	<http://dbpedia.org/ontology/class>	taxón	clase	100218	103428
http://dbpedia.org/ontology/MusicFestival	<http://dbpedia.org/ontology/date>	festival de música	fecha	2	138
http://dbpedia.org/ontology/Tax	<http://dbpedia.org/ontology/division>	taxón	división	23664	103428
http://dbpedia.org/ontology/Tax	<http://dbpedia.org/ontology/family>	taxón	familia	98164	103428
http://dbpedia.org/ontology/Tax	<http://dbpedia.org/ontology/gender>	taxón	género	75601	103428
http://dbpedia.org/ontology/MusicFestival	<http://dbpedia.org/ontology/genre>	festival de música	género	101	138
http://dbpedia.org/ontology/Event	<http://dbpedia.org/ontology/isPartOfMilitaryConflict>	evento	es parte de un conflicto militar	9	22806
http://dbpedia.org/ontology/Tax	<http://dbpedia.org/ontology/kingdom>	taxón	reino	102823	103428
http://dbpedia.org/ontology/MusicFestival	<http://dbpedia.org/ontology/location>	festival de música	ubicación	123	138
http://dbpedia.org/ontology/Tax	<http://dbpedia.org/ontology/notes>	taxón	notas	2	103428
http://dbpedia.org/ontology/Tax	<http://dbpedia.org/ontology/order>	taxón	orden	101004	103428
http://dbpedia.org/ontology/Tax	<http://dbpedia.org/ontology/phylum>	taxón	filo	78245	103428
http://dbpedia.org/ontology/Tax	<http://dbpedia.org/ontology/series>	taxón	serie	18	103428
http://dbpedia.org/ontology/Tax	<http://dbpedia.org/ontology/species>	taxón	especies	534	103428
http://dbpedia.org/ontology/Tax	<http://dbpedia.org/ontology/status>	taxón	estado	21298	103428
http://dbpedia.org/ontology/Tax	<http://dbpedia.org/ontology/subdivisions>	taxón	subdivisiones	363	103428
http://dbpedia.org/ontology/MusicFestival	<http://dbpedia.org/ontology/subtitle>	festival de música	subtítulo	65	138
http://dbpedia.org/ontology/Tax	<http://dbpedia.org/ontology/synonym>	taxón	sinónimo	1	103428
http://dbpedia.org/ontology/MusicFestival	<http://xmlns.com/foaf/0.1/homepage>	festival de música	página principal	82	138
http://dbpedia.org/ontology/MusicFestival	<http://xmlns.com/foaf/0.1/name>	festival de música	nombre	137	138
