emancipation-nn' emancipate-vb'
hobnail-nn' hobnail-vb'
mourning-nn' mourn-vb'
stomp-nn' stomp-vb'
deracination-nn' deracinate-vb'
scum-nn' scum-vb'
vacation-nn' vacate-vb'
vacation-nn' vacation-vb'
shakeup-nn' shake-up-vb'
flagellum-nn' flagellate-vb'
granulation-nn' granulate-vb'
marching-nn' march-vb'
garrison-nn' garrison-vb'
husk-nn' husk-vb'
memorialisation-nn' memorialise-vb'
initialization-nn' initialize-vb'
grantee-nn' grant-vb'
prompting-nn' prompt-vb'
heave-nn' heave-vb'
plash-nn' plash-vb'
spearhead-nn' spearhead-vb'
page-nn' paginate-vb'
page-nn' page-vb'
flux-nn' flux-vb'
bagging-nn' bag-vb'
indentation-nn' indent-vb'
sop-nn' sop-vb'
bay-nn' bay-vb'
vanisher-nn' vanish-vb'
solemnisation-nn' solemnise-vb'
sclaff-nn' sclaff-vb'
brainstorming-nn' brainstorm-vb'
overexertion-nn' overexert-vb'
sizing-nn' size-vb'
beaver-nn' beaver-vb'
flirting-nn' flirt-vb'
thruster-nn' thrust-vb'
rewording-nn' reword-vb'
poisoner-nn' poison-vb'
thunderer-nn' thunder-vb'
indictment-nn' indict-vb'
component-nn' compose-vb'
bump-nn' bump-vb'
barterer-nn' barter-vb'
fingering-nn' finger-vb'
shadow-nn' shadow-vb'
implosion-nn' implode-vb'
amputator-nn' amputate-vb'
billow-nn' billow-vb'
shadower-nn' shadow-vb'
harpoon-nn' harpoon-vb'
patching-nn' patch-vb'
digitiser-nn' digitise-vb'
feedback-nn' feed-back-vb'
harbor-nn' harbor-vb'
peep-nn' peep-vb'
blotter-nn' blot-vb'
plumbing-nn' plumb-vb'
backspacer-nn' backspace-vb'
scaling-nn' scale-vb'
clot-nn' clot-vb'
shuffling-nn' shuffle-vb'
checker-nn' check-vb'
accelerator-nn' accelerate-vb'
shoal-nn' shoal-vb'
moon-nn' moon-vb'
splutter-nn' splutter-vb'
mirror-nn' mirror-vb'
patron-nn' patronise-vb'
patron-nn' patronize-vb'
mouth-nn' mouth-vb'
voyage-nn' voyage-vb'
buttress-nn' buttress-vb'
mumbling-nn' mumble-vb'
tweet-nn' tweet-vb'
whooper-nn' whoop-vb'
rip-off-nn' rip-off-vb'
hooking-nn' hook-vb'
compromise-nn' compromise-vb'
portrayal-nn' portray-vb'
curling-nn' curl-vb'
soak-nn' soak-vb'
obsession-nn' obsess-vb'
lodging-nn' lodge-vb'
meditation-nn' meditate-vb'
taping-nn' tape-vb'
decor-nn' decorate-vb'
fecundation-nn' fecundate-vb'
bunk-nn' bunk-vb'
sketch-nn' sketch-vb'
disbursal-nn' disburse-vb'
perturbation-nn' perturb-vb'
finding-nn' find-vb'
puller-nn' pull-vb'
sublimation-nn' sublimate-vb'
requirement-nn' require-vb'
denationalisation-nn' denationalise-vb'
gasp-nn' gasp-vb'
worsening-nn' worsen-vb'
reminiscence-nn' reminisce-vb'
route-nn' route-vb'
meshing-nn' mesh-vb'
ham-nn' ham-vb'
babysitter-nn' baby-sit-vb'
oxidant-nn' oxidise-vb'
oxidant-nn' oxidize-vb'
figuring-nn' figure-vb'
bull-nn' bull-vb'
cuddle-nn' cuddle-vb'
fidget-nn' fidget-vb'
alcohol-nn' alcoholize-vb'
poetizer-nn' poetize-vb'
solder-nn' solder-vb'
exhortation-nn' exhort-vb'
reducing-nn' reduce-vb'
diffusor-nn' diffuse-vb'
injectant-nn' inject-vb'
conjugate-nn' conjugate-vb'
twisting-nn' twist-vb'
poser-nn' pose-vb'
knock-nn' knock-vb'
admission-nn' admit-vb'
abator-nn' abate-vb'
engorgement-nn' engorge-vb'
rim-nn' rim-vb'
chewer-nn' chew-vb'
span-nn' span-vb'
supplication-nn' supplicate-vb'
deprivation-nn' deprive-vb'
demonetisation-nn' demonetise-vb'
stinter-nn' stint-vb'
speaker-nn' speak-vb'
match-nn' match-vb'
cleansing-nn' cleanse-vb'
derogation-nn' derogate-vb'
dropout-nn' drop-out-vb'
execution-nn' execute-vb'
taunt-nn' taunt-vb'
chill-nn' chill-vb'
reducer-nn' reduce-vb'
variation-nn' vary-vb'
presenter-nn' present-vb'
vending-nn' vend-vb'
abatement-nn' abate-vb'
time-nn' time-vb'
investing-nn' invest-vb'
bombilation-nn' bombilate-vb'
reproval-nn' reprove-vb'
herder-nn' herd-vb'
mate-nn' mate-vb'
dress-nn' dress-vb'
disfranchisement-nn' disfranchise-vb'
sound-nn' sound-vb'
homesteader-nn' homestead-vb'
tide-nn' tide-vb'
sandblaster-nn' sandblast-vb'
counseling-nn' counsel-vb'
weapon-nn' weaponize-vb'
crank-nn' crank-vb'
marinade-nn' marinade-vb'
marinade-nn' marinate-vb'
coinage-nn' coin-vb'
cheater-nn' cheat-vb'
pisser-nn' piss-vb'
regard-nn' regard-vb'
regularisation-nn' regularise-vb'
cachinnation-nn' cachinnate-vb'
reply-nn' reply-vb'
wharfage-nn' wharf-vb'
codification-nn' codify-vb'
squelcher-nn' squelch-vb'
resort-nn' resort-vb'
locator-nn' locate-vb'
revitalization-nn' revitalize-vb'
distribution-nn' distribute-vb'
flotation-nn' float-vb'
oscillation-nn' oscillate-vb'
point-nn' point-vb'
shooting-nn' shoot-vb'
whack-nn' whack-vb'
layover-nn' lay-over-vb'
ravelling-nn' ravel-vb'
putty-nn' putty-vb'
scarer-nn' scare-vb'
editorial-nn' editorialize-vb'
shears-nn' shear-vb'
watering-nn' water-vb'
winery-nn' wine-vb'
peroration-nn' perorate-vb'
ammonium-nn' ammonify-vb'
aspiration-nn' aspire-vb'
aspiration-nn' aspirate-vb'
promiser-nn' promise-vb'
dispersion-nn' disperse-vb'
reprover-nn' reprove-vb'
solarization-nn' solarize-vb'
freelancer-nn' freelance-vb'
overprint-nn' overprint-vb'
box-nn' box-vb'
comparing-nn' compare-vb'
proponent-nn' propound-vb'
popularizer-nn' popularize-vb'
proof-nn' proof-vb'
swathing-nn' swathe-vb'
stitching-nn' stitch-vb'
diminution-nn' diminish-vb'
packer-nn' pack-vb'
shelter-nn' shelter-vb'
fulfillment-nn' fulfill-vb'
desynchronizing-nn' desynchronize-vb'
pal-nn' pal-vb'
program-nn' program-vb'
hint-nn' hint-vb'
incursion-nn' incur-vb'
masking-nn' mask-vb'
sorrower-nn' sorrow-vb'
sustainer-nn' sustain-vb'
promisee-nn' promise-vb'
saint-nn' sanctify-vb'
saint-nn' saint-vb'
innervation-nn' innervate-vb'
overthrow-nn' overthrow-vb'
tube-nn' tube-vb'
internee-nn' intern-vb'
pavage-nn' pave-vb'
drivel-nn' drivel-vb'
conditioner-nn' condition-vb'
buzzer-nn' buzz-vb'
embalmment-nn' embalm-vb'
aspersion-nn' asperse-vb'
insisting-nn' insist-vb'
slot-nn' slot-vb'
network-nn' network-vb'
head-nn' head-vb'
underexposure-nn' underexpose-vb'
copout-nn' cop-out-vb'
perfume-nn' perfume-vb'
blether-nn' blether-vb'
allayer-nn' allay-vb'
matcher-nn' match-vb'
emplacement-nn' emplace-vb'
stamp-nn' stamp-vb'
interpellation-nn' interpellate-vb'
toot-nn' toot-vb'
inclosure-nn' inclose-vb'
craving-nn' crave-vb'
reshuffle-nn' reshuffle-vb'
enrollee-nn' enroll-vb'
discordance-nn' discord-vb'
forest-nn' forest-vb'
lam-nn' lam-vb'
recruitment-nn' recruit-vb'
monition-nn' monish-vb'
naming-nn' name-vb'
porter-nn' port-vb'
porter-nn' porter-vb'
retort-nn' retort-vb'
saline-nn' salinate-vb'
treater-nn' treat-vb'
swig-nn' swig-vb'
folding-nn' fold-vb'
immobilization-nn' immobilize-vb'
subrogation-nn' subrogate-vb'
burglar-nn' burglarise-vb'
win-nn' win-vb'
attenuation-nn' attenuate-vb'
deliverer-nn' deliver-vb'
jubilation-nn' jubilate-vb'
abscission-nn' abscise-vb'
shadowboxing-nn' shadowbox-vb'
assailant-nn' assail-vb'
ejector-nn' eject-vb'
toy-nn' toy-vb'
converging-nn' converge-vb'
animal-nn' animalise-vb'
animal-nn' animalize-vb'
shark-nn' shark-vb'
twister-nn' twist-vb'
plating-nn' plate-vb'
occupant-nn' occupy-vb'
fawn-nn' fawn-vb'
progress-nn' progress-vb'
excogitator-nn' excogitate-vb'
compere-nn' compere-vb'
riding-nn' ride-vb'
trespass-nn' trespass-vb'
sinner-nn' sin-vb'
preemptor-nn' preempt-vb'
air-conditioner-nn' air-condition-vb'
grab-nn' grab-vb'
aper-nn' ape-vb'
lance-nn' lance-vb'
breeder-nn' breed-vb'
disorganization-nn' disorganize-vb'
feudalism-nn' feudalize-vb'
performance-nn' perform-vb'
recission-nn' rescind-vb'
interrelation-nn' interrelate-vb'
recess-nn' recess-vb'
raising-nn' raise-vb'
sprout-nn' sprout-vb'
horseback-riding-nn' ride-horseback-vb'
bonnet-nn' bonnet-vb'
pleat-nn' pleat-vb'
double-crochet-nn' double-crochet-vb'
bight-nn' bight-vb'
satiation-nn' satiate-vb'
scald-nn' scald-vb'
roaster-nn' roast-vb'
trifurcation-nn' trifurcate-vb'
balloon-nn' balloon-vb'
typesetter-nn' typeset-vb'
sneak-nn' sneak-vb'
reek-nn' reek-vb'
single-stitch-nn' single-stitch-vb'
varnisher-nn' varnish-vb'
ill-treatment-nn' ill-treat-vb'
monopolizer-nn' monopolize-vb'
fluttering-nn' flutter-vb'
gibbet-nn' gibbet-vb'
serialization-nn' serialize-vb'
entrant-nn' enter-vb'
voider-nn' void-vb'
gray-nn' gray-vb'
blackmail-nn' blackmail-vb'
getting-nn' get-vb'
shielder-nn' shield-vb'
inmarriage-nn' inmarry-vb'
rancher-nn' ranch-vb'
reconciler-nn' reconcile-vb'
batting-nn' bat-vb'
ring-nn' ring-vb'
financier-nn' financier-vb'
succor-nn' succor-vb'
installment-nn' install-vb'
host-nn' host-vb'
perusal-nn' peruse-vb'
marcher-nn' march-vb'
pacing-nn' pace-vb'
subject-nn' subject-vb'
benefit-nn' benefit-vb'
haulage-nn' haul-vb'
splotch-nn' splotch-vb'
press-nn' press-vb'
communicating-nn' communicate-vb'
counterfeit-nn' counterfeit-vb'
frolic-nn' frolic-vb'
grinning-nn' grin-vb'
electioneering-nn' electioneer-vb'
cone-nn' cone-vb'
ovulation-nn' ovulate-vb'
madder-nn' madder-vb'
randomisation-nn' randomise-vb'
agony-nn' agonize-vb'
agony-nn' agonise-vb'
utilisation-nn' utilise-vb'
territorialization-nn' territorialize-vb'
smuggling-nn' smuggle-vb'
aggravator-nn' aggravate-vb'
gossiper-nn' gossip-vb'
test-drive-nn' test-drive-vb'
storm-nn' storm-vb'
investment-nn' invest-vb'
collaboration-nn' collaborate-vb'
deliverance-nn' deliver-vb'
blacktop-nn' blacktop-vb'
filer-nn' file-vb'
evaluation-nn' evaluate-vb'
attitude-nn' attitudinise-vb'
attitude-nn' attitudinize-vb'
confection-nn' confect-vb'
confection-nn' confection-vb'
smudge-nn' smudge-vb'
place-kicking-nn' place-kick-vb'
bird-nn' bird-vb'
publicizing-nn' publicize-vb'
belt-nn' belt-vb'
sensing-nn' sense-vb'
yearning-nn' yearn-vb'
extravasation-nn' extravasate-vb'
tap-nn' tap-vb'
redistribution-nn' redistribute-vb'
revisal-nn' revise-vb'
disposal-nn' dispose-vb'
turtler-nn' turtle-vb'
chaser-nn' chase-vb'
capitalization-nn' capitalize-vb'
constellation-nn' constellate-vb'
gross-nn' gross-vb'
disheartenment-nn' dishearten-vb'
scuffer-nn' scuff-vb'
adjustor-nn' adjust-vb'
coercion-nn' coerce-vb'
formula-nn' formularize-vb'
formula-nn' formulate-vb'
tune-nn' tune-vb'
pay-nn' pay-vb'
airmailer-nn' airmail-vb'
push-back-nn' push-back-vb'
influence-nn' influence-vb'
deception-nn' deceive-vb'
scrunch-nn' scrunch-vb'
yawner-nn' yawn-vb'
vulgarization-nn' vulgarize-vb'
thatcher-nn' thatch-vb'
calliper-nn' calliper-vb'
systematisation-nn' systematise-vb'
handcraft-nn' handcraft-vb'
liberation-nn' liberate-vb'
symbolizing-nn' symbolize-vb'
carbonation-nn' carbonate-vb'
standardisation-nn' standardise-vb'
clamber-nn' clamber-vb'
tick-nn' tick-vb'
simulator-nn' simulate-vb'
kicking-nn' kick-vb'
arbitrager-nn' arbitrage-vb'
exemplification-nn' exemplify-vb'
screaming-nn' scream-vb'
zone-nn' zone-vb'
coherency-nn' cohere-vb'
moan-nn' moan-vb'
exclusion-nn' exclude-vb'
panhandler-nn' panhandle-vb'
objectification-nn' objectify-vb'
dilatation-nn' dilate-vb'
trot-nn' trot-vb'
wagerer-nn' wager-vb'
tagalong-nn' tag-along-vb'
whirr-nn' whirr-vb'
felicitation-nn' felicitate-vb'
employer-nn' employ-vb'
reckoner-nn' reckon-vb'
excavation-nn' excavate-vb'
fencer-nn' fence-vb'
jabberer-nn' jabber-vb'
conge-nn' conge-vb'
resolve-nn' resolve-vb'
performing-nn' perform-vb'
elevation-nn' elevate-vb'
backlash-nn' backlash-vb'
interspersion-nn' intersperse-vb'
cheep-nn' cheep-vb'
master-nn' master-vb'
rigging-nn' rig-vb'
pointer-nn' point-vb'
bargaining-nn' bargain-vb'
ram-nn' ram-vb'
motivator-nn' motivate-vb'
interview-nn' interview-vb'
snipping-nn' snip-vb'
crystallization-nn' crystallize-vb'
transgression-nn' transgress-vb'
commuter-nn' commute-vb'
swot-nn' swot-vb'
key-nn' key-vb'
intrigue-nn' intrigue-vb'
extortion-nn' extort-vb'
waltzer-nn' waltz-vb'
affright-nn' affright-vb'
using-nn' use-vb'
index-nn' index-vb'
depositor-nn' deposit-vb'
spelling-nn' spell-vb'
dose-nn' dose-vb'
arbiter-nn' arbitrate-vb'
cognizance-nn' cognize-vb'
value-nn' evaluate-vb'
value-nn' value-vb'
value-nn' valuate-vb'
projection-nn' project-vb'
traveller-nn' travel-vb'
belay-nn' belay-vb'
incense-nn' incense-vb'
burr-nn' burr-vb'
roar-nn' roar-vb'
desalinization-nn' desalinize-vb'
ground-nn' ground-vb'
trifler-nn' trifle-vb'
patronage-nn' patronage-vb'
distillery-nn' distill-vb'
heaver-nn' heave-vb'
armament-nn' arm-vb'
centralization-nn' centralize-vb'
scythe-nn' scythe-vb'
baby-nn' baby-vb'
conglobation-nn' conglobe-vb'
conglobation-nn' conglobate-vb'
attraction-nn' attract-vb'
recompense-nn' recompense-vb'
bragger-nn' brag-vb'
overcapitalisation-nn' overcapitalise-vb'
recount-nn' recount-vb'
parley-nn' parley-vb'
bail-nn' bail-vb'
vote-nn' vote-vb'
efflorescence-nn' effloresce-vb'
victimisation-nn' victimise-vb'
mockery-nn' mock-vb'
exhibition-nn' exhibit-vb'
strafer-nn' strafe-vb'
stir-nn' stir-vb'
besieger-nn' besiege-vb'
acquirer-nn' acquire-vb'
dyer-nn' dye-vb'
cease-nn' cease-vb'
pronation-nn' pronate-vb'
trip-nn' trip-vb'
hack-nn' hack-vb'
empty-nn' empty-vb'
withering-nn' wither-vb'
clanger-nn' clang-vb'
idealization-nn' idealize-vb'
weaning-nn' wean-vb'
gassing-nn' gas-vb'
bunch-nn' bunch-vb'
dalliance-nn' dally-vb'
rushing-nn' rush-vb'
aid-nn' aid-vb'
dogmatist-nn' dogmatize-vb'
dogmatist-nn' dogmatise-vb'
decedent-nn' decease-vb'
shammer-nn' sham-vb'
playoff-nn' play-off-vb'
diagonal-nn' diagonalise-vb'
diagonal-nn' diagonalize-vb'
heater-nn' heat-vb'
cheerleader-nn' cheerlead-vb'
acceptation-nn' accept-vb'
spurner-nn' spurn-vb'
need-nn' need-vb'
counteraction-nn' counteract-vb'
shooter-nn' shoot-vb'
snow-nn' snow-vb'
intensification-nn' intensify-vb'
hitting-nn' hit-vb'
mount-nn' mount-vb'
rag-nn' rag-vb'
defamer-nn' defame-vb'
symbolizer-nn' symbolize-vb'
cross-pollination-nn' cross-pollinate-vb'
rigidification-nn' rigidify-vb'
tramp-nn' tramp-vb'
ebb-nn' ebb-vb'
jaywalker-nn' jaywalk-vb'
irritation-nn' irritate-vb'
foolery-nn' fool-vb'
remilitarization-nn' remilitarize-vb'
show-nn' show-vb'
water-skiing-nn' water-ski-vb'
carver-nn' carve-vb'
traverser-nn' traverse-vb'
petrifaction-nn' petrify-vb'
bridge-nn' bridge-vb'
retrenchment-nn' retrench-vb'
verdigris-nn' verdigris-vb'
embrace-nn' embrace-vb'
cheer-nn' cheer-vb'
tantalus-nn' tantalise-vb'
tantalus-nn' tantalize-vb'
forecaster-nn' forecast-vb'
overstatement-nn' overstate-vb'
kitten-nn' kitten-vb'
warping-nn' warp-vb'
agene-nn' agenise-vb'
agene-nn' agenize-vb'
letter-bomb-nn' letter-bomb-vb'
donation-nn' donate-vb'
evert-nn' evert-vb'
overrating-nn' overrate-vb'
hyperbole-nn' hyperbolize-vb'
primer-nn' prime-vb'
boast-nn' boast-vb'
attestant-nn' attest-vb'
yack-nn' yack-vb'
roleplaying-nn' roleplay-vb'
browser-nn' browse-vb'
utilization-nn' utilize-vb'
plagiarism-nn' plagiarize-vb'
plagiarism-nn' plagiarise-vb'
format-nn' format-vb'
stunner-nn' stun-vb'
squabble-nn' squabble-vb'
beating-nn' beat-vb'
rebuilding-nn' rebuild-vb'
feelings-nn' feel-vb'
isomerisation-nn' isomerise-vb'
twitter-nn' twitter-vb'
difference-nn' differentiate-vb'
difference-nn' differ-vb'
creosote-nn' creosote-vb'
plug-nn' plug-vb'
scansion-nn' scan-vb'
titillation-nn' titillate-vb'
ice-skate-nn' ice-skate-vb'
dissembling-nn' dissemble-vb'
securer-nn' secure-vb'
stander-nn' stand-vb'
capsule-nn' capsulate-vb'
capsule-nn' capsulise-vb'
capsule-nn' capsulize-vb'
dropkicker-nn' drop-kick-vb'
machine-nn' machine-vb'
scrambler-nn' scramble-vb'
repulsion-nn' repulse-vb'
present-nn' present-vb'
purveyance-nn' purvey-vb'
lexicalization-nn' lexicalize-vb'
sublimate-nn' sublime-vb'
sublimate-nn' sublimate-vb'
attempt-nn' attempt-vb'
devilment-nn' devil-vb'
clash-nn' clash-vb'
overstrain-nn' overstrain-vb'
rental-nn' rent-vb'
trumpet-nn' trumpet-vb'
aestivation-nn' aestivate-vb'
dribbling-nn' dribble-vb'
rent-nn' rent-vb'
repute-nn' repute-vb'
speculator-nn' speculate-vb'
opsonisation-nn' opsonize-vb'
government-nn' govern-vb'
foraging-nn' forage-vb'
purity-nn' purify-vb'
glimpse-nn' glimpse-vb'
perseverance-nn' persevere-vb'
drinker-nn' drink-vb'
fuel-nn' fuel-vb'
divorcee-nn' divorce-vb'
anagram-nn' anagrammatise-vb'
anagram-nn' anagram-vb'
anagram-nn' anagrammatize-vb'
coach-nn' coach-vb'
abundance-nn' abound-vb'
cowling-nn' cowl-vb'
exterminator-nn' exterminate-vb'
odourise-vb' odor-nn'
osculation-nn' osculate-vb'
rendering-nn' render-vb'
free-nn' free-vb'
oyster-nn' oyster-vb'
pullback-nn' pull-back-vb'
fury-nn' infuriate-vb'
coaxer-nn' coax-vb'
trucking-nn' truck-vb'
observance-nn' observe-vb'
restitution-nn' restitute-vb'
pruner-nn' prune-vb'
grasping-nn' grasp-vb'
coal-nn' coal-vb'
flower-nn' flower-vb'
smirk-nn' smirk-vb'
debunking-nn' debunk-vb'
subeditor-nn' subedit-vb'
strip-miner-nn' strip-mine-vb'
detraction-nn' detract-vb'
feud-nn' feud-vb'
embracing-nn' embrace-vb'
stamper-nn' stamp-vb'
accommodator-nn' accommodate-vb'
panting-nn' pant-vb'
rampage-nn' ramp-vb'
rampage-nn' rampage-vb'
clearance-nn' clear-vb'
scalper-nn' scalp-vb'
revision-nn' revise-vb'
baffle-nn' baffle-vb'
oppressor-nn' oppress-vb'
remotion-nn' remove-vb'
galvaniser-nn' galvanise-vb'
stabiliser-nn' stabilise-vb'
enlisting-nn' enlist-vb'
absorbent-nn' absorb-vb'
supposal-nn' suppose-vb'
verifier-nn' verify-vb'
meddling-nn' meddle-vb'
launch-nn' launch-vb'
renting-nn' rent-vb'
slum-nn' slum-vb'
lubricant-nn' lubricate-vb'
kissing-nn' kiss-vb'
poise-nn' poise-vb'
squeeze-nn' squeeze-vb'
fluxion-nn' flux-vb'
soilure-nn' soil-vb'
maroon-nn' maroon-vb'
moralizing-nn' moralize-vb'
landscapist-nn' landscape-vb'
stewing-nn' stew-vb'
chemisorption-nn' chemisorb-vb'
poet-nn' poetise-vb'
poet-nn' poetize-vb'
misplay-nn' misplay-vb'
wad-nn' wad-vb'
twinkle-nn' twinkle-vb'
reclamation-nn' reclaim-vb'
rustle-nn' rustle-vb'
leakage-nn' leak-vb'
forger-nn' forge-vb'
pickle-nn' pickle-vb'
place-nn' place-vb'
evanescence-nn' evanesce-vb'
asserter-nn' assert-vb'
try-on-nn' try-on-vb'
refurbishment-nn' refurbish-vb'
stitch-nn' stitch-vb'
dabbler-nn' dabble-vb'
breakfast-nn' breakfast-vb'
lag-nn' lag-vb'
tacker-nn' tack-vb'
suppression-nn' suppress-vb'
shred-nn' shred-vb'
abdicator-nn' abdicate-vb'
gin-nn' gin-vb'
debaser-nn' debase-vb'
aggravation-nn' aggravate-vb'
redress-nn' redress-vb'
underline-nn' underline-vb'
laugh-nn' laugh-vb'
underestimate-nn' underestimate-vb'
examination-nn' examine-vb'
debility-nn' debilitate-vb'
slippage-nn' slip-vb'
integrating-nn' integrate-vb'
bulldog-nn' bulldog-vb'
dissipation-nn' dissipate-vb'
foam-nn' foam-vb'
screamer-nn' scream-vb'
embracement-nn' embrace-vb'
mountaineering-nn' mountaineer-vb'
scollop-nn' scollop-vb'
circular-nn' circularise-vb'
circular-nn' circularize-vb'
circular-nn' circulate-vb'
enlarger-nn' enlarge-vb'
atomiser-nn' atomise-vb'
snooker-nn' snooker-vb'
slumber-nn' slumber-vb'
ejection-nn' eject-vb'
honoree-nn' honor-vb'
elopement-nn' elope-vb'
contestation-nn' contest-vb'
telephoner-nn' telephone-vb'
preposition-nn' prepose-vb'
stridulation-nn' stridulate-vb'
pulling-nn' pull-vb'
comer-nn' come-vb'
caress-nn' caress-vb'
reel-nn' reel-vb'
penetrator-nn' penetrate-vb'
sightseeing-nn' sightsee-vb'
miner-nn' mine-vb'
disowning-nn' disown-vb'
stratification-nn' stratify-vb'
warning-nn' warn-vb'
fortification-nn' fortify-vb'
yachting-nn' yacht-vb'
